Kind,Name,Filename,Folder,CanonicalId
"Skill","Quick Slash","SkillQuickslash.png","art/Skills","quick_slash"
"Skill","Heavy Swing","SkillHeavyswing.png","art/Skills","heavy_swing"
"Skill","Spear Thrust","SkillSpearthrust.png","art/Skills","spear_thrust"
"Skill","Shield Bash","SkillShieldbash.png","art/Skills","shield_bash"
"Skill","Guard","SkillGuard.png","art/Skills","guard"
"Skill","Quickstep","SkillQuickstep.png","art/Skills","quickstep"
"Skill","Dagger Flurry","SkillDaggerflurry.png","art/Skills","dagger_flurry"
"Skill","Maul Swing","SkillMaulswing.png","art/Skills","maul_swing"
"Skill","Scythe Sweep","SkillScythesweep.png","art/Skills","scythe_sweep"
"Skill","Pounce","SkillPounce.png","art/Skills","pounce"
"Skill","Dive Strike","SkillDivestrike.png","art/Skills","dive_strike"
"Skill","Spark","SkillSpark.png","art/Skills","spark"
"Skill","Jump Strike","SkillJumpstrike.png","art/Skills","jump_strike"
"Skill","Charge","SkillCharge.png","art/Skills","charge"
"Skill","Finishing Strike","SkillFinishingstrike.png","art/Skills","finishing_strike"
"Skill","Whirlwind","SkillWhirlwind.png","art/Skills","whirlwind"
"Skill","Execution Strike","SkillExecutionstrike.png","art/Skills","execution_strike"
"Skill","Riposte","SkillRiposte.png","art/Skills","riposte"
"Skill","Backstab","SkillBackstab.png","art/Skills","backstab"
"Skill","Frenzy","SkillFrenzy.png","art/Skills","frenzy"
"Skill","Void Dash","SkillVoiddash.png","art/Skills","void_dash"
"Skill","Axe Toss","SkillAxetoss.png","art/Skills","axe_toss"
"Skill","Spear Toss","SkillSpeartoss.png","art/Skills","spear_toss"
"Skill","Quick Shot","SkillQuickshot.png","art/Skills","quick_shot"
"Skill","Crossbow Bolt","SkillCrossbowbolt.png","art/Skills","crossbow_bolt"
"Skill","Blunderbuss Shot","SkillBlunderbussshot.png","art/Skills","blunderbuss_shot"
"Skill","Web Shot","SkillWebshot.png","art/Skills","web_shot"
"Skill","Fire Bolt","SkillFirebolt.png","art/Skills","fire_bolt"
"Skill","Frost Bolt","SkillFrostbolt.png","art/Skills","frost_bolt"
"Skill","Arcane Bolt","SkillArcanebolt.png","art/Skills","arcane_bolt"
"Skill","Void Bolt","SkillVoidbolt.png","art/Skills","void_bolt"
"Skill","Stone Bolt","SkillStonebolt.png","art/Skills","stone_bolt"
"Skill","Bone Shard","SkillBoneshard.png","art/Skills","bone_shard"
"Skill","Snipe","SkillSnipe.png","art/Skills","snipe"
"Skill","Explosive Flask","SkillExplosiveflask.png","art/Skills","explosive_flask"
"Skill","Bomb Toss","SkillBombtoss.png","art/Skills","bomb_toss"
"Skill","Arcane Missiles","SkillArcanemissiles.png","art/Skills","arcane_missiles"
"Skill","Fireball","SkillFireball.png","art/Skills","fireball"
"Skill","Cold Blast","SkillColdblast.png","art/Skills","cold_blast"
"Skill","Ground Slam","SkillGroundslam.png","art/Skills","ground_slam"
"Skill","Powder Mine","SkillPowdermine.png","art/Skills","powder_mine"
"Skill","Frost Nova","SkillFrostnova.png","art/Skills","frost_nova"
"Skill","Cold Wave","SkillColdwave.png","art/Skills","cold_wave"
"Skill","Root Snare","SkillRootsnare.png","art/Skills","root_snare"
"Skill","Venom Spray","SkillVenomspray.png","art/Skills","venom_spray"
"Skill","Blizzard","SkillBlizzard.png","art/Skills","blizzard"
"Skill","Wall of Fire","SkillWalloffire.png","art/Skills","wall_of_fire"
"Skill","Poison Cloud","SkillPoisoncloud.png","art/Skills","poison_cloud"
"Skill","Vortex","SkillVortex.png","art/Skills","vortex"
"Skill","Earthquake","SkillEarthquake.png","art/Skills","earthquake"
"Skill","Meteor","SkillMeteor.png","art/Skills","meteor"
"Skill","Comet","SkillComet.png","art/Skills","comet"
"Skill","Avalanche","SkillAvalanche.png","art/Skills","avalanche"
"Skill","Void Cataclysm","SkillVoidcataclysm.png","art/Skills","void_cataclysm"
"Skill","Root Lash","SkillRootlash.png","art/Skills","root_lash"
"Skill","Wind Cutter","SkillWindcutter.png","art/Skills","wind_cutter"
"Skill","Lightning Bolt","SkillLightningbolt.png","art/Skills","lightning_bolt"
"Skill","Ball Lightning","SkillBalllightning.png","art/Skills","ball_lightning"
"Skill","Void Beam","SkillVoidbeam.png","art/Skills","void_beam"
"Skill","Chain Lightning","SkillChainlightning.png","art/Skills","chain_lightning"
"Skill","Orbiting Shadow Blades","SkillOrbitingshadowblades.png","art/Skills","orbiting_shadow_blades"
"Skill","Life Drain","SkillLifedrain.png","art/Skills","life_drain"
"Skill","Taunt","SkillTaunt.png","art/Skills","taunt"
"Skill","Weakening Hex","SkillWeakeninghex.png","art/Skills","weakening_hex"
"Skill","Hunter's Mark","SkillHuntersmark.png","art/Skills","hunter_s_mark"
"Skill","Battle Cry","SkillBattlecry.png","art/Skills","battle_cry"
"Skill","Pack Howl","SkillPackhowl.png","art/Skills","pack_howl"
"Skill","Reflective Hide","SkillReflectivehide.png","art/Skills","reflective_hide"
"Skill","Intimidate","SkillIntimidate.png","art/Skills","intimidate"
"Skill","Minor Heal","SkillMinorheal.png","art/Skills","minor_heal"
"Skill","Thorns Aura","SkillThornsaura.png","art/Skills","thorns_aura"
"Skill","Flame Weapon","SkillFlameweapon.png","art/Skills","flame_weapon"
"Skill","Spirit Shield","SkillSpiritshield.png","art/Skills","spirit_shield"
"Skill","Managuard","SkillManaguard.png","art/Skills","managuard"
"Skill","Emanatism","SkillEmanatism.png","art/Skills","emanatism"
"Skill","Chilling Aura","SkillChillingaura.png","art/Skills","chilling_aura"
"Skill","Pedanticism","SkillPedanticism.png","art/Skills","pedanticism"
"Skill","Reaping Storm","SkillReapingstorm.png","art/Skills","reaping_storm"
"Skill","Consume Minion","SkillConsumeminion.png","art/Skills","consume_minion"
"Skill","Simulacrum","SkillSimulacrum.png","art/Skills","simulacrum"
"Skill","Corpse Burst","SkillCorpseburst.png","art/Skills","corpse_burst"
"Skill","Wolf Summon","SkillWolfsummon.png","art/Skills","wolf_summon"
"Skill","Bone Cage","SkillBonecage.png","art/Skills","bone_cage"
"Skill","Revive Fallen","SkillRevivefallen.png","art/Skills","revive_fallen"
"Skill","Summon Void Crawlers","SkillSummonvoidcrawlers.png","art/Skills","summon_void_crawlers"
"Skill","Brood Call","SkillBroodcall.png","art/Skills","brood_call"
"Skill","Dominate","SkillDominate.png","art/Skills","dominate"
"Passive","Potency","PassivePotency.png","art/Passives","potency"
"Passive","Efficiency","PassiveEfficiency.png","art/Passives","efficiency"
"Passive","Long Reach","PassiveLongreach.png","art/Passives","long_reach"
"Passive","Rapid Invocation","PassiveRapidinvocation.png","art/Passives","rapid_invocation"
"Passive","Second Wind","PassiveSecondwind.png","art/Passives","second_wind"
"Passive","Overcharge","PassiveOvercharge.png","art/Passives","overcharge"
"Passive","Concentration","PassiveConcentration.png","art/Passives","concentration"
"Passive","Expanded Radius","PassiveExpandedradius.png","art/Passives","expanded_radius"
"Passive","Lingering","PassiveLingering.png","art/Passives","lingering"
"Passive","Echo","PassiveEcho.png","art/Passives","echo"
"Passive","Piercing","PassivePiercing.png","art/Passives","piercing"
"Passive","Fork","PassiveFork.png","art/Passives","fork"
"Passive","Chain","PassiveChain.png","art/Passives","chain"
"Passive","Ricochet","PassiveRicochet.png","art/Passives","ricochet"
"Passive","Return","PassiveReturn.png","art/Passives","return"
"Passive","Volley","PassiveVolley.png","art/Passives","volley"
"Passive","Barrage","PassiveBarrage.png","art/Passives","barrage"
"Passive","Homing","PassiveHoming.png","art/Passives","homing"
"Passive","Accelerant","PassiveAccelerant.png","art/Passives","accelerant"
"Passive","Ballistics","PassiveBallistics.png","art/Passives","ballistics"
"Passive","Shrapnel","PassiveShrapnel.png","art/Passives","shrapnel"
"Passive","Splinterburst","PassiveSplinterburst.png","art/Passives","splinterburst"
"Passive","Cleaving Edge","PassiveCleavingedge.png","art/Passives","cleaving_edge"
"Passive","Multistrike","PassiveMultistrike.png","art/Passives","multistrike"
"Passive","Ruthless","PassiveRuthless.png","art/Passives","ruthless"
"Passive","Shockwave","PassiveShockwave.png","art/Passives","shockwave"
"Passive","Phantom Reach","PassivePhantomreach.png","art/Passives","phantom_reach"
"Passive","Momentum","PassiveMomentum.png","art/Passives","momentum"
"Passive","Executioner","PassiveExecutioner.png","art/Passives","executioner"
"Passive","Opportunist","PassiveOpportunist.png","art/Passives","opportunist"
"Passive","Reversal","PassiveReversal.png","art/Passives","reversal"
"Passive","Impact Force","PassiveImpactforce.png","art/Passives","impact_force"
"Passive","Mobile Domain","PassiveMobiledomain.png","art/Passives","mobile_domain"
"Passive","Rapid Pulse","PassiveRapidpulse.png","art/Passives","rapid_pulse"
"Passive","Cascade","PassiveCascade.png","art/Passives","cascade"
"Passive","Skill Delay","PassiveSkilldelay.png","art/Passives","skill_delay"
"Passive","Vacuum","PassiveVacuum.png","art/Passives","vacuum"
"Passive","Repulsion","PassiveRepulsion.png","art/Passives","repulsion"
"Passive","Orbit","PassiveOrbit.png","art/Passives","orbit"
"Passive","Widening","PassiveWidening.png","art/Passives","widening"
"Passive","Focused Channel","PassiveFocusedchannel.png","art/Passives","focused_channel"
"Passive","Aftermath","PassiveAftermath.png","art/Passives","aftermath"
"Passive","Combustion","PassiveCombustion.png","art/Passives","combustion"
"Passive","Deep Freeze","PassiveDeepfreeze.png","art/Passives","deep_freeze"
"Passive","Shatter","PassiveShatter.png","art/Passives","shatter"
"Passive","Virulence","PassiveVirulence.png","art/Passives","virulence"
"Passive","Concentrated Venom","PassiveConcentratedvenom.png","art/Passives","concentrated_venom"
"Passive","Hemorrhage","PassiveHemorrhage.png","art/Passives","hemorrhage"
"Passive","Terror","PassiveTerror.png","art/Passives","terror"
"Passive","Proliferation","PassiveProliferation.png","art/Passives","proliferation"
"Passive","Selflessness","PassiveSelflessness.png","art/Passives","selflessness"
"Passive","Conservation","PassiveConservation.png","art/Passives","conservation"
"Passive","Resonance","PassiveResonance.png","art/Passives","resonance"
"Passive","Overflow","PassiveOverflow.png","art/Passives","overflow"
"Passive","Triage","PassiveTriage.png","art/Passives","triage"
"Passive","Shared Aegis","PassiveSharedaegis.png","art/Passives","shared_aegis"
"Passive","Reflective Ward","PassiveReflectiveward.png","art/Passives","reflective_ward"
"Passive","Swarm","PassiveSwarm.png","art/Passives","swarm"
"Passive","Minion Empowerment","PassiveMinionempowerment.png","art/Passives","minion_empowerment"
"Passive","Death Pact","PassiveDeathpact.png","art/Passives","death_pact"
"Passive","Lifeblood","PassiveLifeblood.png","art/Passives","lifeblood"
"Passive","Attunement","PassiveAttunement.png","art/Passives","attunement"
"Passive","Leeching","PassiveLeeching.png","art/Passives","leeching"
"Passive","Retaliation","PassiveRetaliation.png","art/Passives","retaliation"
"Passive","Critical Trigger","PassiveCriticaltrigger.png","art/Passives","critical_trigger"
"Passive","Kill Trigger","PassiveKilltrigger.png","art/Passives","kill_trigger"
