[2026/09/08 00:45:07   INFO] [Hytale] Logger Initialized
[2026/09/08 00:45:08   INFO]           [HytaleServer] Starting HytaleServer
[2026/09/08 00:45:08   INFO]           [HytaleServer] Loading config...
[2026/09/08 00:45:08   INFO]           [HytaleServer] Authentication mode: OFFLINE
[2026/09/08 00:45:08   INFO]      [ServerAuthManager] No server tokens configured. Use /auth login to authenticate, or provide tokens via CLI/environment.
[2026/09/08 00:45:08   INFO]      [ServerAuthManager] Server session ID: 327ca2d1-2806-4c46-925c-6d26c840322b
[2026/09/08 00:45:08   INFO]           [HytaleServer] Booting up HytaleServer - Version: 0.7.0-pre.1, Revision: e8b4d191fc98a977bf5546a951a7b25473d323e3
[2026/09/08 00:45:08   INFO]           [HytaleServer] Setup phase...
[2026/09/08 00:45:08   INFO]          [PluginManager] Loading pending core plugins!
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:ConsoleModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:PermissionsModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:UpdateModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:LiveConfigModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:FlyCameraModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:AssetModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:CommonAssetModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:CosmeticsModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:ServerManager
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:I18nModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:ItemModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockTypeModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:LegacyModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockAnimationModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:CollisionModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockSetModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:MigrationModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockHealthModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:PrefabSpawnerModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:TimeModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:AnchorActionModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:InteractionModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:EntityModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:EntityStatsModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:EntityUIModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:DamageModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:SplitVelocity
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:StaminaModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:DebugPlugin
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:ProjectileModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:ServerPlayerListModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:VoiceModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:AccessControlModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:SingleplayerModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:Universe
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:TelemetryModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:ConnectedBlocksModule
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:DiscoveryModule
[2026/09/08 00:45:08   INFO]          [PluginManager] Loading pending classpath plugins!
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:AssetEditor
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockSpawner
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockTick
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BlockPhysics
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:BuilderTools
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:Crafting
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:CommandMacro
[2026/09/08 00:45:08   INFO]          [PluginManager] - Hytale:CompanionBlockSpawner
