"category","id","relativeId","archivePath","bytes","sha256"
"items","Debug_Beacon_Horn","_Debug/Debug_Beacon_Horn","Server/Item/Items/_Debug/Debug_Beacon_Horn.json","748","F83C52E4BC25A5C8A8674F30FA69075427C3BDAA12356584AF6BDDA5579BF4D6"
"items","Debug_Block","_Debug/Debug_Block","Server/Item/Items/_Debug/Debug_Block.json","789","01875B9D255EF4C8649FA5AA77A245B919082A5E65C1BFF965C37BEF677E4FCC"
"items","Debug_Combo","_Debug/Debug_Combo","Server/Item/Items/_Debug/Debug_Combo.json","882","86F18AC75D80F8C9975EACDA24AF0C24AD03A36F5C367BFB416F77F459A7788A"
"items","Debug_Companion_Block_Spawner","_Debug/Debug_Companion_Block_Spawner","Server/Item/Items/_Debug/Debug_Companion_Block_Spawner.json","755","6D2A94EEEFAAC066D1142AB76FFA9403EE5D518C80687E6CD855D87DF872A1C6"
"items","Debug_Companion_Block_Spawner_Explicit","_Debug/Debug_Companion_Block_Spawner_Explicit","Server/Item/Items/_Debug/Debug_Companion_Block_Spawner_Explicit.json","880","A73E223F435E649C3864E174983ABC870E53DD39937CEAD0061B75C8CB0EB27C"
"items","Debug_Companion_Block_Spawner_Requirement","_Debug/Debug_Companion_Block_Spawner_Requirement","Server/Item/Items/_Debug/Debug_Companion_Block_Spawner_Requirement.json","1007","1D38AAFC8B27F4DAF6432E17A3E71AF0A436641E5C40C35D686582B56ED88241"
"items","Debug_Continue","_Debug/Debug_Continue","Server/Item/Items/_Debug/Debug_Continue.json","1374","A33BCB117CE413C5ED49AF7241F92F18B059CB61A0AEB424C9B8EACC2AB9AAF7"
"items","Debug_Continue_Equip","_Debug/Debug_Continue_Equip","Server/Item/Items/_Debug/Debug_Continue_Equip.json","2385","E766BA3C46957FED70594DE7DDDC9DF881933C1976E5F6507D9B763824809F34"
"items","Debug_Continue_Equip_Legs","_Debug/Debug_Continue_Equip_Legs","Server/Item/Items/_Debug/Debug_Continue_Equip_Legs.json","2757","FA3AE16D8A007A0607E996A07BF6418A59DFB9E1F57404DD5A64A5774DAC879D"
"items","Debug_Donut_Selector","_Debug/Debug_Donut_Selector","Server/Item/Items/_Debug/Debug_Donut_Selector.json","1660","EFD6DFEE7296C225CC9DA6EE6E9B01D560E763B77FC68DA78B224BDC1CD43A9D"
"items","Debug_Durability_Condition","_Debug/Debug_Durability_Condition","Server/Item/Items/_Debug/Debug_Durability_Condition.json","598","CDC8F4AA36E80E0480F5C7562543F0BAA536ACB25D6EBFFDFBDAC1675F393A41"
"items","Debug_Explosive","_Debug/Debug_Explosive","Server/Item/Items/_Debug/Debug_Explosive.json","3525","22CD43D7919625E7C26E7C060EC4FCBDD00A566A1E8470C6083EECD8E69E991A"
"items","Debug_Falling_Barrel","_Debug/Debug_Falling_Barrel","Server/Item/Items/_Debug/Debug_Falling_Barrel.json","1549","6240955D47B2A5FB798E67AAF488C986DC8B136752D74006E9C2B4845065D824"
"items","Debug_Falling_Explosive","_Debug/Debug_Falling_Explosive","Server/Item/Items/_Debug/Debug_Falling_Explosive.json","3458","DA44F5A5F4111DC6923B48CB44E714DD556AD051DAB2CA4858998BF98AFB1E5C"
"items","Debug_Forking","_Debug/Debug_Forking","Server/Item/Items/_Debug/Debug_Forking.json","2878","198C4C918FD8448EF728EA2DEBD9E41B16F9AEF7D6FBEE6123BB32DFBC606AF3"
"items","Debug_Forking_2","_Debug/Debug_Forking_2","Server/Item/Items/_Debug/Debug_Forking_2.json","3133","9DA9B802BA607121889932A06A3403D6950290E5B0399946890536CB9A18DA28"
"items","Debug_Launch_Projectile_Fixed_Pitch","_Debug/Debug_Launch_Projectile_Fixed_Pitch","Server/Item/Items/_Debug/Debug_Launch_Projectile_Fixed_Pitch.json","844","E07ED0C8B276E7BF5F453E7996FC21259656988D14D782EC57CC8E1AC0638D62"
"items","Debug_Launch_Projectile_Fixed_Yaw","_Debug/Debug_Launch_Projectile_Fixed_Yaw","Server/Item/Items/_Debug/Debug_Launch_Projectile_Fixed_Yaw.json","838","14909BBEAB08231E217FD6F97ECE3CF9368163020499805592E83FF9C21B0C5F"
